"activities","Activities","කටයුතු"
"blackboard_4","Solving the problem on the blackboard.","කළු ලෑල්ලේ ඇති ගැටළුව විසඳීම."
"blackboard_5","Taking note on the blackboard.","කළු ලෑල්ලේ සටහන් කිරීම."
"blackboard_6","Give me a chalk.","මට හුණු දෙන්න."
"teacher_7","I don't like this topic.","මම මෙම මාතෘකාවට කැමති නැත."
"teacher_8","Thank you for the lesson.","පාඩමට ස්තූතියි."
"school-bus","School bus","පාසැල් බසය"
"school-bus_2","School bus is coming.","පාසල් බස් රථයක් එනවා."
"school-bus_3","Can I sit next to you?","මට ඔබ අසල වාඩි විය හැකිද?"
"school-bus_4","Thank you bus driver!","ස්තූතියි බස් රියදුරු!"
"school-bus_5","School bus was late.","පාසල් බස් රථය ප්‍රමාද විය."
"pencil","Pencil","පැන්සල"
"pencil_2","I'm writing.","මම ලියමින් සිටින්නේ."
"pencil_3","I'm learning to write.","මම ලිවීමට ඉගෙන ගන්නවා."
"pencil_4","I need a new pencil.","මට අලුත් පැන්සලක් අවශ්‍යයි."
"pencil_5","Can I borrow your pencil?","මට ඔබේ පැන්සල ණයට ගත හැකිද?"
"pencil_6","I lost my pencil.","මට මගේ පැන්සල නැතිවුණා."
"eraser","Eraser","මකනය"
"eraser_2","I'm erasing.","මම මකා දමමි."
"eraser_3","I need a new eraser.","මට නව මකනය අවශ්‍යයි."
"eraser_4","Can I borrow your eraser?","මට ඔබේ මකනය ණයට ගත හැකිද?"
"eraser_5","I lost my eraser.","මට මගේ මකනය නැති විය."
"ruler","Ruler","පාලකයා"
"ruler_2","I'm measuring.","මම මනිනවා."
"ruler_3","I need a new ruler.","මට නව පාලකයෙක් අවශ්‍යයි."
"ruler_4","Can I borrow your ruler?","මට ඔබේ පාලකයාගෙන් ණයට ගත හැකිද?"
"ruler_5","I lost my ruler.","මට මගේ පාලකයා අහිමි විය."
"sharpener","Sharpener","තියුණු කරන්නා"
"sharpener_2","I'm sharpening my pencil.","මම මගේ පැන්සල මුවහත් කරමි."
"sharpener_3","I need a new sharpener.","මට නව මුවහත් කිරීමේ යන්ත්‍රයක් අවශ්‍යයි."
"sharpener_4","Can I borrow your sharpener?","මට ඔබේ මුවහත්කරනය ණයට ගත හැකිද?"
"sharpener_5","I lost my sharpener.","මට මගේ මුවහත්කාරකය නැති විය."
"mathematics","Mathematics","ගණිතය"
"mathematics_2","I like mathematics.","මම ගණිතයට කැමතියි."
"mathematics_3","I want to study mathematics.","මට ගණිතය හැදෑරීමට අවශ්‍යයි."
"mathematics_4","I don't like mathematics.","මම ගණිතයට කැමති නැහැ."
"mathematics_5","When is mathematics class?","ගණිත පන්තිය කවදාද?"
"mathematics_6","Can you help me with my mathematics homework?","මගේ ගණිතයේ ගෙදර වැඩ සඳහා ඔබට උදව් කළ හැකිද?"
"literature","Literature","සාහිත්‍යය"
"literature_2","I like literature.","මම සාහිත්‍යයට කැමතියි."
"literature_3","I want to study literature.","මට සාහිත්‍යය හැදෑරීමට අවශ්‍යයි."
"literature_4","I don't like literature.","මම සාහිත්‍යයට කැමති නැහැ."
"literature_5","When is literature class?","සාහිත්‍ය පන්තිය කවදාද?"
"literature_6","Can you help me with my literature homework?","මගේ සාහිත්‍ය ගෙදර වැඩ සඳහා ඔබට උදව් කළ හැකිද?"
"science","Science","විද්යාව"
"science_2","I like science.","මම විද්‍යාවට කැමතියි."
"science_3","I want to study science.","මට විද්‍යාව හැදෑරීමට අවශ්‍යයි."
"science_4","I don't like science.","මම විද්‍යාවට කැමති නැහැ."
"science_5","When is science class?","විද්‍යා පන්තිය කවදාද?"
"science_6","Can you help me with my science homework?","මගේ විද්‍යා ගෙදර වැඩ සඳහා ඔබට උදව් කළ හැකිද?"
"art-class","Art class","කලා පන්තිය"
"art-class_2","I like art class.","මම කලා පන්තියට කැමතියි."
"art-class_3","I want to practice art skills.","මට කලා කුසලතා ප්‍රගුණ කිරීමට අවශ්‍යයි."
"art-class_4","I don't like art class.","මම කලා පන්තියට කැමති නැහැ."
"art-class_5","When is art class?","කලා පන්තිය කවදාද?"
"art-class_6","Can you help me with my art class homework?","මගේ කලා පන්තියේ ගෙදර වැඩ සඳහා මට උදව් කළ හැකිද?"
"music-class","Music class","සංගීත පන්තිය"
"music-class_2","I like music class.","මම සංගීත පන්තියට කැමතියි."
"music-class_3","I want to practice music skills.","මට සංගීත කුසලතා ප්‍රගුණ කිරීමට අවශ්‍යයි."
"music-class_4","I don't like music class.","මම සංගීත පන්තියට කැමති නැහැ."
"music-class_5","When is music class?","සංගීත පන්තිය කවදාද?"
"music-class_6","Can you help me with my music class homework?","ඔබට මගේ සංගීත පන්තියේ ගෙදර වැඩ සඳහා උදව් කළ හැකිද?"
"geography","Geography","භූගෝලය"
"geography_2","I like geography.","මම භූගෝලයට කැමතියි."
"geography_3","I want to study geography.","මට භූගෝල විද්‍යාව හැදෑරීමට අවශ්‍යයි."
"geography_4","I don't like geography.","මම භූගෝලයට කැමති නැහැ."
"geography_5","When is geography?","භූගෝල විද්‍යාව කවදාද?"
"geography_6","Can you help me with my geography homework?","මගේ භූගෝලීය ගෙදර වැඩ සඳහා ඔබට මට උදව් කළ හැකිද?"
"telescope","Telescope","දුරේක්ෂය"
"telescope_2","I'm using the telescope.","මම දුරේක්ෂය භාවිතා කරමි."
"telescope_3","I want to use the telescope.","මට දුරේක්ෂය භාවිතා කිරීමට අවශ්‍යයි."
"telescope_4","I want to look at the stars.","මට තරු දෙස බැලීමට අවශ්‍යයි."
"glue","Glue","මැලියම්"
"glue_2","I'm using glue.","මම මැලියම් පාවිච්චි කරනවා."
"glue_3","I need a new glue.","මට අලුත් මැලියම් අවශ්‍යයි."
"glue_4","Can I borrow your glue?","මට ඔබේ මැලියම් ණයට ගත හැකිද?"
"glue_5","I lost my glue.","මට මගේ මැලියම් නැති වුණා."
"shapes","Shapes","හැඩ"
"circle","Circle","කවය"
"circle_2","This is circle shaped.","මෙය රවුම් හැඩයෙන් යුක්තය."
"circle_3","Can you teach me how to draw a circle?","රවුමක් අඳින්නේ කෙසේදැයි ඔබට මට ඉගැන්විය හැකිද?"
"triangle","Triangle","ත්රිකෝණය"
"triangle_2","This is triangle shaped.","මෙය ත්රිකෝණාකාර හැඩයෙන් යුක්තය."
"triangle_3","Can you teach me how to draw a triangle?","ත්රිකෝණයක් අඳින්නේ කෙසේදැයි ඔබට මට ඉගැන්විය හැකිද?"
"square","Square","චතුරස්රය"
"square_2","This is square shaped.","මෙය හතරැස් හැඩැති ය."
"square_3","Can you teach me how to draw a square?","චතුරස්රයක් අඳින්නේ කෙසේදැයි ඔබට මට ඉගැන්විය හැකිද?"
"rectangle","Rectangle","සෘජුකෝණාස්රය"
"rectangle_2","This is rectangle shaped.","මෙය සෘජුකෝණාස්රාකාර හැඩයෙන් යුක්තය."
"rectangle_3","Can you teach me how to draw a rectangle?","සෘජුකෝණාස්රයක් අඳින්නේ කෙසේදැයි ඔබට මට ඉගැන්විය හැකිද?"
"star","Star","තරුව"
"star_2","This is star shaped.","මෙය තරු හැඩැති ය."
"star_3","Can you teach me how to draw a star?","තරුවක් අඳින්නේ කෙසේදැයි මට ඉගැන්විය හැකිද?"
"pentagon","Pentagon","පෙන්ටගනය"
"pentagon_2","This is pentagon shaped.","මෙය පෙන්ටගනයේ හැඩයෙන් යුක්තය."
"pentagon_3","Can you teach me how to draw a pentagon?","පෙන්ටගනයක් අඳින්නේ කෙසේදැයි මට ඉගැන්විය හැකිද?"
"hexagon","Hexagon","ෂඩාස්රය"
"hexagon_2","This is hexagon shaped.","මෙය ෂඩාස්රාකාර හැඩයෙන් යුක්තය."
"hexagon_3","Can you teach me how to draw a hexagon?","ෂඩාස්රයක් අඳින්නේ කෙසේදැයි මට ඉගැන්විය හැකිද?"
"cross","Cross","කුරුසය"
"cross_2","This is cross shaped.","මෙය හරස් හැඩයෙන් යුක්තය."
"cross_3","Can you teach me how to draw a cross?","කුරුසියක් අඳින්නේ කෙසේදැයි මට ඉගැන්විය හැකිද?"
"ellipse","Ellipse","ඉලිප්සාකාරය"
"ellipse_2","This is ellipse shaped.","මෙය ඉලිප්සාකාර හැඩයෙන් යුක්තය."
"ellipse_3","Can you teach me how to draw a ellipse?","ඉලිප්සයක් අඳින්නේ කෙසේදැයි මට ඉගැන්විය හැකිද?"
"arrow","Arrow","ඊතලය"
"arrow_2","This is arrow shaped.","මෙය ඊතල හැඩැති ය."
"arrow_3","Can you teach me how to draw a arrow?","ඊතලයක් අඳින්නේ කෙසේදැයි ඔබට මට ඉගැන්විය හැකිද?"
"crescent","Crescent","ක්‍රෙසන්ට්"
"crescent_2","This is crescent shaped.","මෙය ක්‍රෙසන්ට් හැඩයෙන් යුක්තය."
"crescent_3","Can you teach me how to draw a crescent?","ඔබට ක්‍රෙසන්ට් එකක් අඳින්නේ කෙසේදැයි කියා දිය හැකිද?"
"heart","Heart","හදවත"
"heart_2","This is heart shaped.","මෙය හෘද හැඩැති ය."
"heart_3","Can you teach me how to draw a heart?","හදවතක් අඳින්නේ කෙසේදැයි මට ඉගැන්විය හැකිද?"
"rhombus","Rhombus","රොම්බස්"
"rhombus_2","This is rhombus shaped.","මෙය රොම්බස් හැඩයෙන් යුක්තය."
"rhombus_3","Can you teach me how to draw a rhombus?","රොම්බස් අඳින්නේ කෙසේදැයි ඔබට මට ඉගැන්විය හැකිද?"
"ring","Ring","මුද්ද"
"ring_2","This is ring shaped.","මෙය මුදු හැඩැති ය."
"ring_3","Can you teach me how to draw a ring?","මුද්දක් අඳින්නේ කෙසේදැයි මට ඉගැන්විය හැකිද?"
"semicircle","Semicircle","අර්ධ වෘත්තාකාරය"
"semicircle_2","This is semicircle shaped.","මෙය අර්ධ වෘත්තාකාර හැඩයෙන් යුක්තය."
"semicircle_3","Can you teach me how to draw a semicircle?","අර්ධ චක්‍රයක් අඳින්නේ කෙසේදැයි මට ඉගැන්විය හැකිද?"
"trapezoid","Trapezoid","ට්‍රැපෙසොයිඩ්"
"trapezoid_2","This is trapezoid shaped.","මෙය trapezoid හැඩැති ය."
"trapezoid_3","Can you teach me how to draw a trapezoid?","ට්‍රැපෙසොයිඩ් අඳින්නේ කෙසේදැයි ඔබට මට ඉගැන්විය හැකිද?"
"cube","Cube","කියුබ්"
"cube_2","This is cube shaped.","මෙය කියුබ් හැඩැති ය."
"cube_3","Can you teach me how to draw a cube?","Ube නකයක් අඳින්නේ කෙසේදැයි ඔබට මට ඉගැන්විය හැකිද?"
"cylinder","Cylinder","සිලින්ඩරය"
"cylinder_2","This is cylinder shaped.","මෙය සිලින්ඩර හැඩැති ය."
"cylinder_3","Can you teach me how to draw a cylinder?","සිලින්ඩරයක් අඳින්නේ කෙසේදැයි මට ඉගැන්විය හැකිද?"
