"activities","Activities","سرگرمیاں"
"music-class_2","I like music class.","مجھے میوزک کلاس پسند ہے۔"
"music-class_3","I want to practice music skills.","میں موسیقی کی مہارت پر عمل کرنا چاہتا ہوں۔"
"music-class_4","I don't like music class.","مجھے میوزک کی کلاس پسند نہیں ہے۔"
"music-class_5","When is music class?","میوزک کلاس کب ہے؟"
"music-class_6","Can you help me with my music class homework?","کیا آپ میوزک کلاس ہوم ورک میں میری مدد کرسکتے ہیں؟"
"geography","Geography","جغرافیہ"
"geography_2","I like geography.","مجھے جغرافیہ پسند ہے۔"
"geography_3","I want to study geography.","میں جغرافیہ کا مطالعہ کرنا چاہتا ہوں۔"
"geography_4","I don't like geography.","مجھے جغرافیہ پسند نہیں ہے۔"
"geography_5","When is geography?","جغرافیہ کب ہے؟"
"geography_6","Can you help me with my geography homework?","کیا آپ میرے جغرافیہ کے ہوم ورک میں مدد کرسکتے ہیں؟"
"telescope","Telescope","دوربین"
"telescope_2","I'm using the telescope.","میں دوربین استعمال کر رہا ہوں۔"
"telescope_3","I want to use the telescope.","میں دوربین استعمال کرنا چاہتا ہوں"
"telescope_4","I want to look at the stars.","میں ستاروں کو دیکھنا چاہتا ہوں۔"
"glue","Glue","چپکانا"
"glue_2","I'm using glue.","میں گلو استعمال کر رہا ہوں۔"
"glue_3","I need a new glue.","مجھے ایک نیا گلو چاہئے۔"
"glue_4","Can I borrow your glue?","کیا میں آپ کا گلو قرض لے سکتا ہوں؟"
"glue_5","I lost my glue.","میں اپنا گلو کھو گیا۔"
"shapes","Shapes","شکلیں"
"circle","Circle","دائرہ"
"circle_2","This is circle shaped.","یہ دائرے کی شکل کا ہے۔"
"circle_3","Can you teach me how to draw a circle?","کیا آپ مجھے حلقہ کھینچنے کا طریقہ سکھ سکتے ہیں؟"
"triangle","Triangle","مثلث"
"triangle_2","This is triangle shaped.","یہ مثلث کی شکل کا ہے۔"
"triangle_3","Can you teach me how to draw a triangle?","کیا آپ مجھے سکھا سکتے ہیں کہ مثلث کس طرح کھینچنا ہے؟"
"square","Square","مربع"
"square_2","This is square shaped.","یہ مربع شکل کا ہے۔"
"square_3","Can you teach me how to draw a square?","کیا آپ مجھے مربع کھینچنے کا طریقہ سکھائیں گے؟"
"rectangle","Rectangle","مستطیل"
"rectangle_2","This is rectangle shaped.","یہ مستطیل کی شکل کی ہے۔"
"rectangle_3","Can you teach me how to draw a rectangle?","کیا آپ مجھے ایک مستطیل کھینچنے کا طریقہ سکھ سکتے ہیں؟"
"star","Star","ستارہ"
"star_2","This is star shaped.","یہ ستارے کی شکل کا ہے"
"star_3","Can you teach me how to draw a star?","کیا آپ مجھے ستارہ لگانے کا طریقہ سکھائیں گے؟"
"pentagon","Pentagon","پینٹاگون"
"pentagon_2","This is pentagon shaped.","یہ پینٹاگون کی شکل کا ہے۔"
"pentagon_3","Can you teach me how to draw a pentagon?","کیا آپ مجھے پینٹاگون کھینچنے کا طریقہ سکھائیں گے؟"
"hexagon","Hexagon","مسدس"
"hexagon_2","This is hexagon shaped.","یہ مسدس کی شکل کا ہے۔"
"hexagon_3","Can you teach me how to draw a hexagon?","کیا آپ مجھے مسدس تیار کرنے کا طریقہ سکھ سکتے ہیں؟"
"cross","Cross","کراس"
"cross_2","This is cross shaped.","یہ کراس کی شکل کا ہے۔"
"cross_3","Can you teach me how to draw a cross?","کیا آپ مجھے صلیب کھینچنے کا طریقہ سکھائیں گے؟"
"ellipse","Ellipse","بیضوی"
"ellipse_2","This is ellipse shaped.","یہ بیضوی شکل کی ہے۔"
"ellipse_3","Can you teach me how to draw a ellipse?","کیا آپ مجھے بیضویہ لگانے کا طریقہ سکھائیں گے؟"
"arrow","Arrow","یرو"
"arrow_2","This is arrow shaped.","یہ تیر کے سائز کا ہے۔"
"arrow_3","Can you teach me how to draw a arrow?","کیا آپ مجھے تیر چلانے کا طریقہ سکھائیں گے؟"
"crescent","Crescent","کریسنٹ"
"crescent_2","This is crescent shaped.","یہ ہلال کی شکل کا ہے۔"
"crescent_3","Can you teach me how to draw a crescent?","کیا آپ مجھے سکھ سکتے ہو کہ کریسنٹ کس طرح ڈرا؟"
"heart","Heart","دل"
"heart_2","This is heart shaped.","یہ دل کی شکل کا ہے۔"
"heart_3","Can you teach me how to draw a heart?","کیا آپ مجھے دل سکھانے کا طریقہ سکھائیں گے؟"
"rhombus","Rhombus","رومبس"
"rhombus_2","This is rhombus shaped.","یہ رومبس کی شکل کا ہے۔"
"rhombus_3","Can you teach me how to draw a rhombus?","کیا آپ مجھے سکھ سکتے ہیں کہ کس طرح ایک رومبس تیار کریں؟"
"ring","Ring","رنگ"
"ring_2","This is ring shaped.","یہ انگوٹھی کی شکل کا ہے۔"
"ring_3","Can you teach me how to draw a ring?","کیا آپ مجھے انگوٹھی کھینچنے کا طریقہ سکھائیں گے؟"
"semicircle","Semicircle","نیم دائرہ"
"semicircle_2","This is semicircle shaped.","یہ نیم دائرے کی شکل کا ہے۔"
"semicircle_3","Can you teach me how to draw a semicircle?","کیا آپ مجھے یہ سکھ سکتے ہیں کہ نیم دائرہ کس طرح کھینچنا ہے؟"
"trapezoid","Trapezoid","ٹراپیزائڈ"
"trapezoid_2","This is trapezoid shaped.","یہ ٹراپیزائڈ کی شکل کا ہے۔"
"trapezoid_3","Can you teach me how to draw a trapezoid?","کیا آپ مجھے سکھ سکتے ہیں کہ ٹریپیزائڈ کس طرح کھینچنا ہے؟"
"cube","Cube","مکعب"
"cube_2","This is cube shaped.","یہ مکعب کی شکل کا ہے۔"
"cube_3","Can you teach me how to draw a cube?","کیا آپ مجھے کیوب تیار کرنے کا طریقہ سکھ سکتے ہیں؟"
"cylinder","Cylinder","سلنڈر"
"cylinder_2","This is cylinder shaped.","یہ سلنڈر کی شکل کا ہے۔"
"cylinder_3","Can you teach me how to draw a cylinder?","کیا آپ مجھے سکھ سکتے ہیں کہ سلنڈر کس طرح کھینچنا ہے؟"
