"activities","Activities","សកម្មភាព"
"grandparents_3","I love you grandparents.","ខ្ញុំស្រឡាញ់អ្នកជីដូនជីតា។"
"grandparents_4","I miss my grandparents.","ខ្ញុំនឹកជីដូនជីតារបស់ខ្ញុំ។"
"grandparents_5","They are my grandparents.","ពួកគេជាជីដូនជីតារបស់ខ្ញុំ។"
"grandparents_6","My grandparents are taking care of me.","ជីដូនជីតារបស់ខ្ញុំកំពុងមើលថែខ្ញុំ។"
"grandparents_8","Can you help me find my grandparents?","តើអ្នកអាចជួយខ្ញុំរកជីដូនជីតារបស់ខ្ញុំបានទេ?"
"brother","Brother","បងប្រុស"
"brother_2","I love my brother.","ខ្ញុំស្រឡាញ់បងប្រុសរបស់ខ្ញុំ។"
"brother_3","I love you brother.","ខ្ញុំ​ស្រឡាញ់​អ្នក​បង​ប្អូន​ប្រុស។"
"brother_4","I miss my brother.","ខ្ញុំនឹកបង។"
"brother_5","He is my brother.","គាត់​គឺជា​បងប្រុស​របស់ខ្ញុំ។"
"brother_6","My brother is taking care of me.","បងប្រុសរបស់ខ្ញុំកំពុងមើលថែខ្ញុំ។"
"brother_8","Can you help me find my brother?","តើអ្នកអាចជួយខ្ញុំរកបងប្រុសរបស់ខ្ញុំបានទេ?"
"sister","Sister","បងស្រី"
"sister_2","I love my sister.","ខ្ញុំស្រឡាញ់បងស្រីរបស់ខ្ញុំ។"
"sister_3","I love you sister.","ខ្ញុំស្រឡាញ់អ្នកបងស្រី។"
"sister_4","I miss my sister.","ខ្ញុំនឹកប្អូនស្រីរបស់ខ្ញុំ។"
"sister_5","She is my sister.","នាងគឺជាបងស្រីរបស់ខ្ញុំ។"
"sister_6","My sister is taking care of me.","បងស្រីខ្ញុំកំពុងមើលថែខ្ញុំ។"
"sister_8","Can you help me find my sister?","តើអ្នកអាចជួយខ្ញុំរកឃើញប្អូនស្រីរបស់ខ្ញុំបានទេ?"
"uncle","Uncle","ពូ"
"uncle_2","I love my uncle.","ខ្ញុំស្រឡាញ់ពូ។"
"uncle_3","I love you uncle.","ខ្ញុំស្រឡាញ់អ្នកពូ។"
"uncle_4","I miss my uncle.","ខ្ញុំនឹកពូរបស់ខ្ញុំ។"
"uncle_5","He is my uncle.","គាត់គឺជាពូរបស់ខ្ញុំ។"
"uncle_8","Can you help me find my uncle?","តើអ្នកអាចជួយខ្ញុំរកពូរបស់ខ្ញុំបានទេ?"
"aunt","Aunt","មីង"
"aunt_2","I love my aunt.","ខ្ញុំស្រឡាញ់មីងរបស់ខ្ញុំ។"
"aunt_3","I love you aunt.","ខ្ញុំស្រឡាញ់អ្នកមីង។"
"aunt_4","I miss my aunt.","ខ្ញុំនឹកមីងរបស់ខ្ញុំ។"
"aunt_5","She is my aunt.","នាងគឺជាមីងរបស់ខ្ញុំ។"
"aunt_8","Can you help me find my aunt?","តើអ្នកអាចជួយខ្ញុំរកមីងរបស់ខ្ញុំបានទេ?"
"teacher","Teacher","គ្រូ"
"teacher_2","I love my teacher.","ខ្ញុំស្រឡាញ់គ្រូរបស់ខ្ញុំ។"
"teacher_3","I love you teacher.","ខ្ញុំស្រឡាញ់អ្នកគ្រូ។"
"teacher_4","I don't like my teacher.","ខ្ញុំមិនចូលចិត្តគ្រូរបស់ខ្ញុំទេ។"
"teacher_5","I miss my teacher.","ខ្ញុំនឹកគ្រូរបស់ខ្ញុំ។"
"teacher_6","Thank you for the lesson.","សូមអរគុណចំពោះមេរៀន។"
"therapist","Therapist","អ្នកព្យាបាលរោគ"
"therapist_2","I love my therapist.","ខ្ញុំស្រឡាញ់អ្នកព្យាបាលរបស់ខ្ញុំ។"
"therapist_3","I love you therapist.","ខ្ញុំស្រឡាញ់អ្នកព្យាបាលរោគ។"
"therapist_4","I don't like my therapist.","ខ្ញុំមិនចូលចិត្តអ្នកព្យាបាលរោគរបស់ខ្ញុំទេ។"
"therapist_5","I miss my therapist.","ខ្ញុំនឹកអ្នកព្យាបាលរបស់ខ្ញុំ។"
"therapist_6","Thank you for the session.","សូមអរគុណសម្រាប់សម័យប្រជុំនេះ។"
"doctor","Doctor","វេជ្ជបណ្ឌិត"
"doctor_2","I love my doctor.","ខ្ញុំស្រឡាញ់គ្រូពេទ្យណាស់។"
"doctor_3","I love you doctor.","ខ្ញុំស្រឡាញ់អ្នកគ្រូពេទ្យ។"
"doctor_4","I don't like my doctor.","ខ្ញុំមិនចូលចិត្តវេជ្ជបណ្ឌិតរបស់ខ្ញុំទេ។"
"doctor_5","I miss my doctor.","ខ្ញុំនឹកគ្រូពេទ្យរបស់ខ្ញុំ។"
"doctor_6","Thank you for healing me.","សូមអរគុណចំពោះការព្យាបាលខ្ញុំ។"
"friends","Friends","មិត្តភក្តិ"
"friends_2","I love my friends.","ខ្ញុំស្រឡាញ់មិត្តភក្តិរបស់ខ្ញុំ។"
"friends_3","Do you want to be my friend?","តើ​អ្នក​ចង់​ក្លាយ​ជា​មិត្ត​របស់​ខ្ញុំ?"
"friends_4","I don't like my friends.","ខ្ញុំមិនចូលចិត្តមិត្តភក្តិរបស់ខ្ញុំទេ។"
"friends_5","I miss my friends.","ខ្ញុំនឹកមិត្តភក្តិរបស់ខ្ញុំ។"
"friends_6","They are my friends.","ពួកគេជាមិត្តរបស់ខ្ញុំ។"
"friends_7","Thank you for playing with me.","អរគុណដែលបានលេងជាមួយខ្ញុំ។"
"cousins","Cousins","បងប្អូនជីដូនមួយ"
"cousins_2","I love my cousins.","ខ្ញុំស្រឡាញ់បងប្អូនជីដូនមួយរបស់ខ្ញុំ។"
"cousins_3","I don't have cousins.","ខ្ញុំមិនមានបងប្អូនជីដូនមួយទេ។"
"cousins_4","I miss my cousins.","ខ្ញុំនឹកបងប្អូនជីដូនមួយខ្ញុំ។"
"cousins_5","They are my cousins.","ពួកគេជាបងប្អូនជីដូនមួយរបស់ខ្ញុំ។"
"grandmother","Grandmother","លោកយាយ"
"grandmother_2","I love my grandmother.","ខ្ញុំស្រឡាញ់ជីដូនរបស់ខ្ញុំ។"
"grandmother_3","I love you grandma.","ខ្ញុំស្រឡាញ់លោកយាយ។"
"grandmother_4","I miss my grandma.","ខ្ញុំនឹកយាយខ្ញុំ។"
"grandmother_5","She is my grandma.","នាងគឺជាយាយរបស់ខ្ញុំ។"
"grandfather","Grandfather","ជីតា"
"grandfather_2","I love my grandfather.","ខ្ញុំស្រឡាញ់ជីតារបស់ខ្ញុំ។"
"grandfather_3","I love you grandpa.","ខ្ញុំស្រឡាញ់អ្នកជីតា។"
"grandfather_4","I miss my grandpa.","ខ្ញុំនឹកជីតារបស់ខ្ញុំ។"
"grandfather_5","He is my grandpa.","គាត់គឺជាជីតារបស់ខ្ញុំ។"
"stepfather","Stepfather","ឪពុកចុង"
"stepfather_2","I love my stepfather.","ខ្ញុំស្រឡាញ់ឪពុកចុងរបស់ខ្ញុំ។"
"stepfather_3","He is my stepfather.","គាត់ជាឪពុកចុងរបស់ខ្ញុំ។"
"stepfather_4","I miss my stepfather.","ខ្ញុំនឹកឪពុកចុងរបស់ខ្ញុំ។"
"stepfather_5","He is my stepfather.","គាត់ជាឪពុកចុងរបស់ខ្ញុំ។"
"stepmother","Stepmother","ម្តាយចុង"
"stepmother_2","I love my stepmother.","ខ្ញុំស្រឡាញ់ម្តាយចុងរបស់ខ្ញុំ។"
"stepmother_3","She is my stepmother.","នាងគឺជាម្តាយចុងរបស់ខ្ញុំ។"
"stepmother_4","I miss my stepmother.","ខ្ញុំនឹកម្តាយចុងរបស់ខ្ញុំ។"
"stepmother_5","She is my stepmother.","នាងគឺជាម្តាយចុងរបស់ខ្ញុំ។"
"stepsister","Stepsister","បងស្រី​ចុង"
"stepsister_2","I love my stepsister.","ខ្ញុំស្រឡាញ់ឪពុកចុងរបស់ខ្ញុំ។"
"stepsister_3","She is my stepsister.","នាងគឺជាឪពុកចុងរបស់ខ្ញុំ។"
"stepsister_4","I miss my stepsister.","ខ្ញុំនឹកឪពុកចុងរបស់ខ្ញុំ។"
"stepsister_5","She is my stepsister.","នាងគឺជាឪពុកចុងរបស់ខ្ញុំ។"
"stepbrother","Stepbrother","ប្អូនប្រុស​ចុង"
"stepbrother_2","I love my stepbrother.","ខ្ញុំស្រឡាញ់កូនចុងរបស់ខ្ញុំ។"
"stepbrother_3","He is my stepbrother.","គាត់គឺជាឪពុកចុងរបស់ខ្ញុំ។"
"stepbrother_4","I miss my stepbrother.","ខ្ញុំនឹកកូនចុងរបស់ខ្ញុំ។"
"stepbrother_5","He is my stepbrother.","គាត់គឺជាឪពុកចុងរបស់ខ្ញុំ។"
"half-brother","Half brother","បងប្រុសពាក់កណ្តាល"
"half-brother_2","I love my half brother.","ខ្ញុំស្រឡាញ់បងប្អូនពាក់កណ្តាលរបស់ខ្ញុំ។"
"half-brother_3","He is my half brother.","គាត់ជាបងប្អូនប្រុសពាក់កណ្តាលរបស់ខ្ញុំ។"
"half-brother_4","I miss my half brother.","ខ្ញុំនឹកបងប្អូនពាក់កណ្តាលរបស់ខ្ញុំ។"
"half-brother_5","He is my half brother.","គាត់ជាបងប្អូនប្រុសពាក់កណ្តាលរបស់ខ្ញុំ។"
"half-sister","Half sister","បងប្អូន​ស្រី​ដែល​មាន​ឪពុក​ឬ​ម្ដាយ​ទីទៃ"
"half-sister_2","I love my half sister.","ខ្ញុំស្រឡាញ់បងស្រីពាក់កណ្តាលរបស់ខ្ញុំ។"
"half-sister_3","She is my half sister.","នាងគឺជាបងស្រីពាក់កណ្តាលរបស់ខ្ញុំ។"
"half-sister_4","I miss my half sister.","ខ្ញុំនឹកបងស្រីពាក់កណ្តាលរបស់ខ្ញុំ។"
"half-sister_5","She is my half sister.","នាងគឺជាបងស្រីពាក់កណ្តាលរបស់ខ្ញុំ។"
"quarantine","Quarantine","ច​ត្តា​ឡី​ស័ក"
"protective-mask","Protective mask","របាំងការពារ"
"stay-home","Stay home","នៅផ្ទះ"
"toilet-paper","Toilet paper","ក្រដាស​បង្គន់"
"sprayer","Sprayer","ម៉ាស៊ីនបាញ់ថ្នាំ"
"disinfectant","Disinfectant","មាប់មគ"
"thermometer","Thermometer","ទែម៉ូម៉ែត្រ"
"coughing","Coughing","ក្អក"
"medical-assistance","Medical assistance","ជំនួយវេជ្ជសាស្រ្ត"
"hand-sanitizer","Hand sanitizer","ទឹក​លាងដៃ​សម្លាប់​មេរោគ"
"gloves","Gloves","ស្រោមដៃ"
"social-distancing","Social distancing","ការ​រក្សា​គម្លាត​ឱ្យ​នៅ​ឆ្ងាយ​ពី​គ្នា"
"mouth-mask","Mouth mask","របាំងមាត់"
"pandemic","Pandemic","ការ​រាតត្បាត​សកល"
"working-at-home","Working at home","ធ្វើការនៅផ្ទះ"
"wet-wipes","Wet wipes","ជូតសើម"
"first-aid-kit","First aid kit","ឧបករណ៍សង្គ្រោះបឋម"
"fitness","Fitness","សម្បទា"
"e-learning","E-learning","ការសិក្សាតាមអេឡិកត្រូនិក"
"virus","Virus","វីរុស"
"cleaning","Cleaning","ការសំអាត"
"school","School","សាលា"
"desk","Desk","តុ"
"desk_2","Can I use this desk?","តើខ្ញុំអាចប្រើតុនេះបានទេ?"
"desk_3","Which desk is mine?","តុមួយណាជារបស់ខ្ញុំ?"
"desk_4","I spilled on my desk.","ខ្ញុំកំពប់លើតុខ្ញុំ។"
"desk_5","Don't scratch your desk.","កុំកោសកន្លែងរបស់អ្នក។"
"chair","Chair","កៅអី"
"chair_2","Can I sit with you?","តើខ្ញុំអាចអង្គុយជាមួយអ្នកបានទេ?"
"chair_3","Which chair is mine?","តើកៅអីមួយណាជារបស់ខ្ញុំ?"
"chair_4","Is this chair taken?","តើប្រធាននេះត្រូវបានគេយកទេ?"
"chair_5","I spilled on my chair.","ខ្ញុំស្រក់លើកៅអីខ្ញុំ។"
"book","Book","សៀវភៅ"
"book_2","Textbook","សៀវភៅសិក្សា"
"book_3","Workbook","សៀវភៅការងារ"
"book_4","Reading a book.","អាន​សៀវភៅ។"
"book_5","Can I borrow your book?","តើខ្ញុំអាចខ្ចីសៀវភៅរបស់អ្នកបានទេ?"
"book_6","Which page are we at?","តើយើងនៅទំព័រណា?"
"book_7","Flip the page.","ត្រឡប់ទំព័រ។"
"book_8","I lost my book.","ខ្ញុំបានបាត់បង់សៀវភៅ។"
"notebook","Notebook","សៀវភៅកត់ត្រា"
"notebook_2","Taking notes.","កត់ចំណាំ។"
"notebook_3","I'm taking notes.","ខ្ញុំកំពុងកត់ចំណាំ។"
"notebook_4","I lost my notebook.","ខ្ញុំបានបាត់បង់សៀវភៅកត់ត្រា។"
"backpack","Backpack","សាកាដូ"
"backpack_2","Carrying my backpack.","ដឹកឥវ៉ាន់របស់ខ្ញុំ។"
"backpack_3","Putting my books in my backpack.","ដាក់សៀវភៅរបស់ខ្ញុំនៅក្នុងកាបូបស្ពាយរបស់ខ្ញុំ។"
"backpack_4","I need a new backpack.","ខ្ញុំត្រូវការកាបូបស្ពាយថ្មី។"
"backpack_5","Thank you for carrying my backpack.","សូមអរគុណដែលបានយកកាបូបស្ពាយរបស់ខ្ញុំ។"
"backpack_6","I lost my backpack.","ខ្ញុំបាត់បង់កាបូបស្ពាយ។"
"backpack_7","My backpack is heavy.","កាបូបស្ពាយរបស់ខ្ញុំធ្ងន់។"
"blackboard","Blackboard","ក្តារខៀន"
"blackboard_2","Look at the blackboard.","សូមក្រឡេកមើលក្តារខៀន។"
"blackboard_3","Cleaning the blackboard.","ការសម្អាតក្តារខៀន។"
"blackboard_4","Solving the problem on the blackboard.","ដោះស្រាយបញ្ហានៅលើក្តារខៀន។"
"blackboard_5","Taking note on the blackboard.","កត់ចំណាំនៅលើក្តារខៀន។"
"blackboard_6","Give me a chalk.","ឱ្យខ្ញុំដីសមួយ។"
"teacher_7","I don't like this topic.","ខ្ញុំមិនចូលចិត្តប្រធានបទនេះទេ។"
"teacher_8","Thank you for the lesson.","សូមអរគុណចំពោះមេរៀន។"
"school-bus","School bus","ឡាន​សាលា"
"school-bus_2","School bus is coming.","ឡានក្រុងសាលារៀនមកដល់ហើយ។"
"school-bus_3","Can I sit next to you?","តើខ្ញុំអាចអង្គុយក្បែរអ្នកបានទេ?"
"school-bus_4","Thank you bus driver!","សូមអរគុណអ្នកបើកបរឡានក្រុង!"
"school-bus_5","School bus was late.","ឡានក្រុងសាលាយឺត។"
"pencil","Pencil","ខ្មៅដៃ"
"pencil_2","I'm writing.","ខ្ញុំកំពុងសរសេរ។"
"pencil_3","I'm learning to write.","ខ្ញុំកំពុងរៀនសរសេរ។"
"pencil_4","I need a new pencil.","ខ្ញុំត្រូវការខ្មៅដៃថ្មី។"
"pencil_5","Can I borrow your pencil?","តើខ្ញុំអាចខ្ចីខ្មៅដៃរបស់អ្នកបានទេ?"
"pencil_6","I lost my pencil.","ខ្ញុំបានបាត់បង់ខ្មៅដៃរបស់ខ្ញុំ។"
"eraser","Eraser","ជ័រលុប"
"eraser_2","I'm erasing.","ខ្ញុំកំពុងលុបចោល។"
"eraser_3","I need a new eraser.","ខ្ញុំត្រូវការជ័រលុបថ្មី។"
"eraser_4","Can I borrow your eraser?","តើខ្ញុំអាចខ្ចីជ័រលុបរបស់អ្នកបានទេ?"
"eraser_5","I lost my eraser.","ខ្ញុំបានបាត់ជ័រលុប។"
"ruler","Ruler","អ្នកគ្រប់គ្រង"
"ruler_2","I'm measuring.","ខ្ញុំកំពុងវាស់។"
"ruler_3","I need a new ruler.","ខ្ញុំត្រូវការអ្នកគ្រប់គ្រងថ្មី។"
"ruler_4","Can I borrow your ruler?","តើខ្ញុំអាចខ្ចីចៅហ្វាយរបស់អ្នកបានទេ?"
"ruler_5","I lost my ruler.","ខ្ញុំបានបាត់បង់អ្នកគ្រប់គ្រងរបស់ខ្ញុំ។"
"sharpener","Sharpener","Sharpener"
"sharpener_2","I'm sharpening my pencil.","ខ្ញុំកំពុងគូសខ្មៅដៃរបស់ខ្ញុំ។"
"sharpener_3","I need a new sharpener.","ខ្ញុំត្រូវការអ្នកដុសខាត់ថ្មី។"
"sharpener_4","Can I borrow your sharpener?","តើខ្ញុំអាចខ្ចីសំភារះរបស់អ្នកបានទេ?"
"sharpener_5","I lost my sharpener.","ខ្ញុំបានបាត់បង់អ្នកមុតស្រួចរបស់ខ្ញុំ។"
"mathematics","Mathematics","គណិតវិទ្យា"
"mathematics_2","I like mathematics.","ខ្ញុំចូលចិត្តគណិតវិទ្យា។"
"mathematics_3","I want to study mathematics.","ខ្ញុំចង់សិក្សាគណិតវិទ្យា។"
"mathematics_4","I don't like mathematics.","ខ្ញុំមិនចូលចិត្តគណិតវិទ្យាទេ។"
"mathematics_5","When is mathematics class?","តើថ្នាក់គណិតវិទ្យានៅពេលណា?"
"mathematics_6","Can you help me with my mathematics homework?","តើអ្នកអាចជួយខ្ញុំជាមួយលំហាត់គណិតវិទ្យារបស់ខ្ញុំបានទេ?"
"literature","Literature","អក្សរសាស្ត្រ"
"literature_2","I like literature.","ខ្ញុំចូលចិត្តអក្សរសាស្ត្រ។"
"literature_3","I want to study literature.","ខ្ញុំចង់សិក្សាអក្សរសាស្ត្រ។"
"literature_4","I don't like literature.","ខ្ញុំមិនចូលចិត្តអក្សរសាស្រ្តទេ។"
"literature_5","When is literature class?","តើថ្នាក់អក្សរសាស្ត្រនៅពេលណា?"
"literature_6","Can you help me with my literature homework?","តើអ្នកអាចជួយខ្ញុំក្នុងការងារអក្សរសិល្ប៍របស់ខ្ញុំបានទេ?"
"science","Science","វិទ្យាសាស្ត្រ"
"science_2","I like science.","ខ្ញុំចូលចិត្តវិទ្យាសាស្ត្រ។"
"science_3","I want to study science.","ខ្ញុំចង់សិក្សាវិទ្យាសាស្ត្រ។"
"science_4","I don't like science.","ខ្ញុំមិនចូលចិត្តវិទ្យាសាស្ត្រទេ។"
"science_5","When is science class?","តើថ្នាក់វិទ្យាសាស្ត្រនៅពេលណា?"
"science_6","Can you help me with my science homework?","តើអ្នកអាចជួយខ្ញុំជាមួយនឹងការងារវិទ្យាសាស្ត្ររបស់ខ្ញុំបានទេ?"
"art-class","Art class","ថ្នាក់​សិល្បៈ"
"art-class_2","I like art class.","ខ្ញុំចូលចិត្តថ្នាក់សិល្បៈ។"
"art-class_3","I want to practice art skills.","ខ្ញុំចង់អនុវត្តជំនាញសិល្បៈ។"
"art-class_4","I don't like art class.","ខ្ញុំមិនចូលចិត្តថ្នាក់សិល្បៈទេ។"
"art-class_5","When is art class?","តើថ្នាក់សិល្បៈនៅពេលណា?"
"art-class_6","Can you help me with my art class homework?","តើអ្នកអាចជួយខ្ញុំជាមួយនឹងការងារសិល្បៈថ្នាក់របស់ខ្ញុំបានទេ?"
"music-class","Music class","ថ្នាក់តន្ត្រី"
"music-class_2","I like music class.","ខ្ញុំចូលចិត្តថ្នាក់តន្រ្តី។"
"music-class_3","I want to practice music skills.","ខ្ញុំចង់អនុវត្តជំនាញតន្រ្តី។"
"music-class_4","I don't like music class.","ខ្ញុំមិនចូលចិត្តថ្នាក់តន្ត្រីទេ។"
"music-class_5","When is music class?","តើថ្នាក់តន្ត្រីនៅពេលណា?"
"music-class_6","Can you help me with my music class homework?","តើអ្នកអាចជួយខ្ញុំជាមួយកិច្ចការសាលាតន្ត្រីរបស់ខ្ញុំបានទេ?"
"geography","Geography","ភូមិសាស្ត្រ"
"geography_2","I like geography.","ខ្ញុំចូលចិត្តភូមិសាស្ត្រ។"
"geography_3","I want to study geography.","ខ្ញុំចង់សិក្សាភូមិសាស្ត្រ។"
"geography_4","I don't like geography.","ខ្ញុំមិនចូលចិត្តភូមិសាស្ត្រទេ។"
"geography_5","When is geography?","តើភូមិសាស្ត្រនៅពេលណា?"
"geography_6","Can you help me with my geography homework?","តើអ្នកអាចជួយខ្ញុំក្នុងការងារភូមិសាស្ត្ររបស់ខ្ញុំបានទេ?"
"telescope","Telescope","តេឡេស្កុប"
"telescope_2","I'm using the telescope.","ខ្ញុំកំពុងប្រើកែវយឹត។"
"telescope_3","I want to use the telescope.","ខ្ញុំចង់ប្រើកែវយឹត។"
"telescope_4","I want to look at the stars.","ខ្ញុំចង់មើលផ្កាយ។"
"glue","Glue","កាវ"
"glue_2","I'm using glue.","ខ្ញុំកំពុងប្រើកាវ។"
"glue_3","I need a new glue.","ខ្ញុំត្រូវការកាវបិទថ្មី។"
"glue_4","Can I borrow your glue?","តើខ្ញុំអាចខ្ចីកាវរបស់អ្នកបានទេ?"
"glue_5","I lost my glue.","ខ្ញុំបាត់បង់កាវបិទ។"
"shapes","Shapes","រាង"
"circle","Circle","រង្វង់"
"circle_2","This is circle shaped.","នេះជារាងរង្វង់។"
"circle_3","Can you teach me how to draw a circle?","តើអ្នកអាចបង្រៀនខ្ញុំពីរបៀបគូររង្វង់បានទេ?"
"triangle","Triangle","ត្រីកោណ"
"triangle_2","This is triangle shaped.","នេះគឺជារាងត្រីកោណ។"
"triangle_3","Can you teach me how to draw a triangle?","តើអ្នកអាចបង្រៀនខ្ញុំពីរបៀបគូរត្រីកោណបានទេ?"
"square","Square","ការ៉េ"
"square_2","This is square shaped.","នេះគឺជារាងការ៉េ។"
"square_3","Can you teach me how to draw a square?","តើអ្នកអាចបង្រៀនខ្ញុំពីរបៀបគូរការ៉េបានទេ?"
"rectangle","Rectangle","ចតុកោណ"
"rectangle_2","This is rectangle shaped.","នេះគឺជារាងចតុកោណ។"
"rectangle_3","Can you teach me how to draw a rectangle?","តើអ្នកអាចបង្រៀនខ្ញុំពីរបៀបគូរចតុកោណបានទេ?"
"star","Star","ផ្កាយ"
"star_2","This is star shaped.","នេះគឺជារូបផ្កាយ។"
"star_3","Can you teach me how to draw a star?","តើអ្នកអាចបង្រៀនខ្ញុំពីរបៀបគូរផ្កាយបានទេ?"
"pentagon","Pentagon","មន្ទីរបញ្ចកោណ"
"pentagon_2","This is pentagon shaped.","នេះមានរាងដូច pentagon ។"
"pentagon_3","Can you teach me how to draw a pentagon?","តើអ្នកអាចបង្រៀនខ្ញុំពីរបៀបគូរស្តុងហ្គោលបានទេ?"
"hexagon","Hexagon","ឆកោន"
"hexagon_2","This is hexagon shaped.","នេះគឺជារាងឆកោន។"
"hexagon_3","Can you teach me how to draw a hexagon?","តើអ្នកអាចបង្រៀនខ្ញុំពីរបៀបគូរឆកោនទេ?"
"cross","Cross","ឈើឆ្កាង"
"cross_2","This is cross shaped.","នេះគឺជារាងឈើឆ្កាង។"
"cross_3","Can you teach me how to draw a cross?","តើអ្នកអាចបង្រៀនខ្ញុំពីរបៀបគូរឈើឆ្កាងបានទេ?"
"ellipse","Ellipse","ពងក្រពើ"
"ellipse_2","This is ellipse shaped.","នេះគឺជារាងពងក្រពើ។"
"ellipse_3","Can you teach me how to draw a ellipse?","តើអ្នកអាចបង្រៀនខ្ញុំពីរបៀបគូរពងក្រពើបានទេ?"
"arrow","Arrow","ព្រួញ"
"arrow_2","This is arrow shaped.","នេះគឺជារាងព្រួញ។"
"arrow_3","Can you teach me how to draw a arrow?","តើអ្នកអាចបង្រៀនខ្ញុំពីរបៀបគូរព្រួញបានទេ?"
"crescent","Crescent","អឌ្ឍចន្ទ"
"crescent_2","This is crescent shaped.","នេះគឺជារាងអឌ្ឍចន្ទ។"
"crescent_3","Can you teach me how to draw a crescent?","តើអ្នកអាចបង្រៀនខ្ញុំពីរបៀបគូរអឌ្ឍចន្ទបានទេ?"
"heart","Heart","បេះដូង"
"heart_2","This is heart shaped.","នេះគឺជារាងបេះដូង។"
"heart_3","Can you teach me how to draw a heart?","តើអ្នកអាចបង្រៀនខ្ញុំពីរបៀបគូរបេះដូងបានទេ?"
"rhombus","Rhombus","Rhombus"
"rhombus_2","This is rhombus shaped.","នេះគឺជារាង rhombus ។"
"rhombus_3","Can you teach me how to draw a rhombus?","តើអ្នកអាចបង្រៀនខ្ញុំពីរបៀបគូររូបចម្លាក់រាងពងក្រពើបានទេ?"
"ring","Ring","រោទិ៍"
"ring_2","This is ring shaped.","នេះគឺជាចិញ្ចៀនរាង។"
"ring_3","Can you teach me how to draw a ring?","តើអ្នកអាចបង្រៀនខ្ញុំពីរបៀបគូរចិញ្ចៀនបានទេ?"
"semicircle","Semicircle","ពាក់កណ្តាលរង្វង់"
"semicircle_2","This is semicircle shaped.","នេះគឺជារាងពាក់កណ្តាលរង្វង់។"
"semicircle_3","Can you teach me how to draw a semicircle?","តើអ្នកអាចបង្រៀនខ្ញុំពីរបៀបគូររង្វង់ពាក់កណ្តាលរង្វង់បានទេ?"
"trapezoid","Trapezoid","ត្រពាំង"
"trapezoid_2","This is trapezoid shaped.","នេះគឺជារាងត្របក។"
"trapezoid_3","Can you teach me how to draw a trapezoid?","តើអ្នកអាចបង្រៀនខ្ញុំពីរបៀបគូរត្រាប់តាមទេ?"
"cube","Cube","គូប"
"cube_2","This is cube shaped.","នេះគឺជារាងគូប។"
"cube_3","Can you teach me how to draw a cube?","តើអ្នកអាចបង្រៀនខ្ញុំពីរបៀបគូរគូបបានទេ?"
"cylinder","Cylinder","ស៊ីឡាំង"
"cylinder_2","This is cylinder shaped.","នេះគឺជារាងស៊ីឡាំង។"
"cylinder_3","Can you teach me how to draw a cylinder?","តើអ្នកអាចបង្រៀនខ្ញុំពីរបៀបគូរស៊ីឡាំងបានទេ?"
